怪物,出生点,等待时间,路线
清道夫,0,15,0
清道夫,0,15,0
清道夫,0,3,0
清道夫,0,3,0
清道夫2,0,15,0
清道夫,0,7,0
清道夫,0,7,0
清道夫,0,7,0
清道夫,0,4,0
清道夫,0,4,0
清道夫,0,4,0
清道夫4,0,10,0
清道夫4,1,0,1
清道夫4,1,1,1
清道夫4,0,0,0
清道夫4,1,1,1
清道夫4,0,0,0
清道夫4,1,1,1
清道夫4,0,0,0
清道夫4,1,1,1
清道夫4,0,0,0
清道夫4,1,1,1
清道夫4,0,0,0
清道夫4,1,1,1
清道夫4,0,0,0
清道夫4,1,1,1
清道夫4,0,0,0
清道夫4,1,1,1
清道夫4,0,0,0
清道夫4,1,1,1
清道夫4,0,0,0
清道夫4,1,1,1
清道夫4,0,0,0
清道夫4,1,1,1
清道夫4,0,0,0
清道夫4,1,1,1
清道夫4,0,0,0
清道夫4,1,1,1
清道夫4,0,0,0
清道夫4,1,1,1
清道夫4,0,0,0
清道夫4,1,1,1
清道夫4,0,0,0
清道夫2,0,7,0
清道夫2,0,5,0
清道夫2,0,5,0
清道夫2,0,4,0
清道夫2,0,4,0
清道夫2,0,4,0
清道夫2,0,4,0
清道夫3,0,4,0
清道夫2,0,3,0
清道夫2,0,3,0
清道夫2,0,3,0
清道夫2,0,3,0
