,出生点,等待时间,路线
清道夫4,4,40,3
清道夫4,4,13,2
清道夫4,4,1,2
清道夫4,4,1,2
清道夫4,4,1,2
清道夫4,4,1,2
清道夫4,4,1,2
清道夫4,4,1,2
清道夫4,4,1,2
清道夫4,4,1,2
清道夫4,4,1,2
清道夫4,4,1,2
清道夫4,4,1,2
清道夫4,4,1,2
清道夫4,4,1,2
清道夫4,4,1,2
清道夫4,4,1,2
清道夫4,4,1,2
清道夫4,4,1,2
清道夫4,4,25,2
清道夫4,4,2,2
清道夫4,4,0.6,2
清道夫4,4,0.6,2
清道夫4,4,0.6,2
清道夫4,4,0.6,2
清道夫4,4,0.6,2
清道夫4,4,0.6,2
清道夫4,4,0.6,2
清道夫4,4,0.6,2
清道夫4,4,0.6,2
清道夫4,4,0.6,2
清道夫4,4,0.6,2
清道夫4,4,0.6,2
清道夫4,4,0.6,2
清道夫4,4,0.6,2
清道夫4,4,0.6,2
清道夫4,4,0.6,2
清道夫4,4,40,2
清道夫4,4,0.3,2
清道夫4,4,0.3,2
清道夫4,4,0.3,2
清道夫4,4,0.3,2
清道夫4,4,0.3,2
清道夫4,4,1,2
清道夫4,4,0.3,2
清道夫4,4,0.3,2
清道夫4,4,0.3,2
清道夫4,4,0.3,2
清道夫4,4,0.3,2
清道夫4,4,0.3,2
清道夫4,4,0.3,2
清道夫4,4,1,2
清道夫4,4,0.3,2
清道夫4,4,0.3,2
清道夫4,4,0.3,2
清道夫4,4,0.3,2
清道夫4,4,0.3,2
清道夫4,4,0.3,2
清道夫4,4,0.3,2
清道夫4,4,0.3,2
清道夫4,4,0.3,2
清道夫4,4,1,2
清道夫4,4,0.3,2
清道夫4,4,0.3,2
清道夫4,4,0.3,2
清道夫4,4,0.3,2
清道夫4,4,0.3,2
清道夫4,4,0.3,2
清道夫4,4,0.3,2
清道夫4,4,0.3,2
清道夫4,4,0.3,2
清道夫4,4,0.3,2
清道夫4,4,0.3,2
清道夫4,4,0.3,2
清道夫4,4,0.3,2
清道夫4,4,0.3,2
清道夫4,4,0.3,2
清道夫4,4,0.3,2
