怪物,出生点,等待时间,路线
铁匠飞2,0,10,0
铁匠飞2,0,2,0
铁匠飞2,0,2,0
铁匠飞2,1,10,1
铁匠飞2,1,2,1
铁匠飞2,1,2,1
铁匠飞2,0,10,0
铁匠飞2,0,1,0
铁匠飞2,0,1,0
铁匠飞2,1,10,1
铁匠飞2,1,1,1
铁匠飞2,1,1,1
铁匠飞2,0,10,0
铁匠飞2,0,1,0
铁匠飞2,0,1,0
铁匠飞2,1,10,1
铁匠飞2,1,1,1
铁匠飞2,1,1,1
铁匠飞2,0,10,0
铁匠飞2,0,1,0
铁匠飞2,0,1,0
铁匠飞2,1,10,1
铁匠飞2,1,1,1
铁匠飞2,1,1,1
铁匠飞2,0,10,0
铁匠飞2,0,1,0
铁匠飞2,0,1,0
铁匠飞2,1,10,1
铁匠飞2,1,1,1
铁匠飞2,1,1,1
铁匠飞2,0,10,0
铁匠飞2,0,1,0
铁匠飞2,0,1,0
铁匠飞2,1,10,1
铁匠飞2,1,1,1
铁匠飞2,1,1,1
铁匠飞2,0,9,0
铁匠飞2,0,1,0
铁匠飞2,0,1,0
铁匠飞2,1,9,1
铁匠飞2,1,1,1
铁匠飞2,1,1,1
铁匠飞2,0,8,0
铁匠飞2,0,1,0
铁匠飞2,0,1,0
铁匠飞2,1,8,1
铁匠飞2,1,1,1
铁匠飞2,1,1,1
铁匠飞2,0,7,0
铁匠飞2,0,1,0
铁匠飞2,0,1,0
铁匠飞2,1,7,1
铁匠飞2,1,1,1
铁匠飞2,1,1,1
铁匠飞2,0,7,0
铁匠飞2,0,1,0
铁匠飞2,0,1,0
铁匠飞2,1,1,1
铁匠飞2,0,0,0
铁匠飞2,1,1,1
铁匠飞2,0,0,0
铁匠飞2,1,1,1
铁匠飞2,0,0,0
铁匠飞2,1,1,1
铁匠飞2,0,0,0
铁匠飞2,1,1,1
铁匠飞2,0,0,0
铁匠飞2,1,1,1
铁匠飞2,0,0,0
铁匠飞2,1,1,1
铁匠飞2,0,0,0
铁匠飞2,1,1,1
铁匠飞2,0,0,0
铁匠飞2,1,1,1
铁匠飞2,0,0,0
铁匠飞2,1,1,1
铁匠飞2,0,0,0
铁匠飞2,1,1,1
铁匠飞2,0,0,0
铁匠飞2,1,1,1
铁匠飞2,0,0,0
铁匠飞2,1,1,1
铁匠飞2,0,0,0
铁匠飞2,1,1,1
铁匠飞2,0,0,0
铁匠飞2,1,1,1
铁匠飞2,0,0,0
铁匠飞2,1,1,1
铁匠飞2,0,0,0
铁匠飞2,1,1,1
铁匠飞2,0,0,0
铁匠飞2,1,1,1
铁匠飞2,0,0,0
铁匠飞2,1,1,1
铁匠飞2,0,0,0
铁匠飞2,1,1,1
铁匠飞2,0,0,0
铁匠飞2,1,1,1
铁匠飞2,0,0,0
铁匠飞2,1,1,1
铁匠飞2,0,0,0
