怪物,出生点,等待时间,路线
快影,0,10,0
快影,1,7,1
快影,0,2,0
快影,1,2,1
快影,0,2,0
快影,1,2,1
快影,0,2,0
快影,1,2,1
快影,0,30,0
快影,1,1,1
快影,0,1,0
快影,1,1,1
快影,0,1,0
快影,1,1,1
快影,0,1,0
快影,1,1,1
快影,0,1,0
快影,1,1,1
快影,0,30,0
快影,1,0,1
快影,0,0.6,0
快影,1,0,1
快影,0,0.6,0
快影,1,0,1
快影,0,0.6,0
快影,1,0,1
快影,0,0.6,0
快影,1,0,1
快影,0,2,0
快影,1,0,1
快影,0,0.5,0
快影,1,0,1
快影,0,0.5,0
快影,1,0,1
快影,0,0.5,0
快影,1,0,1
快影,0,0.5,0
快影,1,0,1
快影,0,2,0
快影,1,0,1
快影,0,0.5,0
快影,1,0,1
快影,0,0.5,0
快影,1,0,1
快影,0,0.5,0
快影,1,0,1
快影,0,0.5,0
快影,1,0,1
快影,0,2,0
快影,1,0,1
快影,0,0.3,0
快影,1,0,1
快影,0,0.3,0
快影,1,0,1
快影,0,0.3,0
快影,1,0,1
快影,0,0.3,0
快影,1,0,1
快影,0,1,0
快影,1,0,1
快影,0,0.3,0
快影,1,0,1
快影,0,0.3,0
快影,1,0,1
快影,0,0.3,0
快影,1,0,1
快影,0,0.3,0
快影,1,0,1
快影,0,1,0
快影,1,0,1
快影,0,0.3,0
快影,1,0,1
快影,0,0.3,0
快影,1,0,1
快影,0,0.3,0
快影,1,0,1
快影,0,0.3,0
快影,1,0,1
快影,0,0.5,0
快影,1,0,1
快影,0,0.1,0
快影,1,0,1
快影,0,0.1,0
快影,1,0,1
快影,0,0.1,0
快影,1,0,1
快影,0,0.1,0
快影,1,0,1
快影,0,0.5,0
快影,1,0,1
快影,0,0.1,0
快影,1,0,1
快影,0,0.1,0
快影,1,0,1
快影,0,0.1,0
快影,1,0,1
快影,0,0.1,0
快影,1,0,1
快影,0,0.5,0
快影,1,0,1
快影,0,0.1,0
快影,1,0,1
快影,0,0.1,0
快影,1,0,1
快影,0,0.1,0
快影,1,0,1
快影,0,0.1,0
快影,1,0,1
快影,0,0.5,0
快影,1,0,1
快影,0,0.1,0
快影,1,0,1
快影,0,0.1,0
快影,1,0,1
快影,0,0.1,0
快影,1,0,1
快影,0,0.1,0
快影,1,0,1
快影,0,0.5,0
快影,1,0,1
快影,0,0.1,0
快影,1,0,1
快影,0,0.1,0
快影,1,0,1
快影,0,0.1,0
快影,1,0,1
快影,0,0.1,0
快影,1,0,1
快影,0,0.5,0
快影,1,0,1
快影,0,0.1,0
快影,1,0,1
快影,0,0.1,0
快影,1,0,1
快影,0,0.1,0
快影,1,0,1
快影,0,0.1,0
快影,1,0,1
快影,0,15,0
快影,1,0,1
快影,0,0.1,0
快影,1,0,1
快影,0,0.1,0
快影,1,0,1
快影,0,0.1,0
快影,1,0,1
快影,0,0.1,0
快影,1,0,1
快影,0,0.5,0
快影,1,0,1
快影,0,0.1,0
快影,1,0,1
快影,0,0.1,0
快影,1,0,1
快影,0,0.1,0
快影,1,0,1
快影,0,0.1,0
快影,1,0,1
快影,0,0.5,0
快影,1,0,1
快影,0,0.1,0
快影,1,0,1
快影,0,0.1,0
快影,1,0,1
快影,0,0.1,0
快影,1,0,1
快影,0,0.1,0
快影,1,0,1
快影,0,0.5,0
快影,1,0,1
快影,0,0.1,0
快影,1,0,1
快影,0,0.1,0
快影,1,0,1
快影,0,0.1,0
快影,1,0,1
快影,0,0.1,0
快影,1,0,1
快影,0,0.5,0
快影,1,0,1
快影,0,0.1,0
快影,1,0,1
快影,0,0.1,0
快影,1,0,1
快影,0,0.1,0
快影,1,0,1
快影,0,0.1,0
快影,1,0,1
快影,0,0.5,0
快影,1,0,1
快影,0,0.1,0
快影,1,0,1
快影,0,0.1,0
快影,1,0,1
快影,0,0.1,0
快影,1,0,1
快影,0,0.1,0
快影,1,0,1
快影,0,0.5,0
快影,1,0,1
快影,0,0.1,0
快影,1,0,1
快影,0,0.1,0
快影,1,0,1
快影,0,0.1,0
快影,1,0,1
快影,0,0.1,0
快影,1,0,1
快影,0,0.5,0
快影,1,0,1
快影,0,0.1,0
快影,1,0,1
快影,0,0.1,0
快影,1,0,1
快影,0,0.1,0
快影,1,0,1
快影,0,0.1,0
快影,1,0,1
快影,0,0.5,0
快影,1,0,1
快影,0,0.1,0
快影,1,0,1
快影,0,0.1,0
快影,1,0,1
快影,0,0.1,0
快影,1,0,1
快影,0,0.1,0
