怪物,出生点,等待时间,路线
铁匠,0,10,0
铁匠,0,8,0
铁匠,0,1,0
铁匠,0,1,0
铁匠,0,6,0
铁匠,0,1,0
铁匠,0,1,0
铁匠,0,4,0
铁匠,0,1,0
铁匠,0,1,0
铁匠,0,4,0
铁匠,0,1,0
铁匠,0,1,0
铁匠,0,4,0
铁匠,0,1,0
铁匠,0,1,0
铁匠,0,4,0
铁匠,0,1,0
铁匠,0,1,0
铁匠,0,4,0
铁匠,0,1,0
铁匠,0,1,0
铁匠,0,2,0
铁匠,0,1,0
铁匠,0,1,0
铁匠,0,2,0
铁匠,0,1,0
铁匠,0,1,0
铁匠,0,2,0
铁匠,0,1,0
铁匠,0,1,0
大铁匠,0,5,0
大铁匠,0,5,0
大铁匠,0,5,0
大铁匠,0,5,0
大铁匠,0,5,0
大铁匠,0,5,0
大铁匠,0,5,0
大铁匠,0,5,0
大铁匠,0,5,0
大铁匠,0,5,0
大铁匠,0,5,0
大铁匠,0,5,0
大铁匠,0,5,0
大铁匠,0,5,0
大铁匠,0,5,0
大铁匠,0,5,0
大铁匠,0,5,0
大铁匠,0,5,0
大铁匠,0,5,0
大铁匠,0,5,0
大铁匠,0,2,0
大铁匠,0,2,0
大铁匠,0,2,0
大铁匠,0,2,0
大铁匠,0,2,0
大铁匠,0,2,0
大铁匠,0,2,0
大铁匠,0,2,0
大铁匠,0,2,0
大铁匠,0,2,0
大铁匠,0,2,0
大铁匠,0,2,0
大铁匠,0,2,0
大铁匠,0,2,0
大铁匠,0,2,0
大铁匠,0,2,0
大铁匠,0,2,0
大铁匠,0,2,0
大铁匠,0,2,0
大铁匠,0,2,0
大铁匠,0,2,0
大铁匠,0,2,0
大铁匠,0,2,0
大铁匠,0,2,0
大铁匠,0,2,0
大铁匠,0,2,0
大铁匠,0,2,0
大铁匠,0,2,0
大铁匠,0,2,0
大铁匠,0,2,0
