怪物,出生点,等待时间,路线
着火的快影1,0,0,0
铁匠,0,5,0
铁匠,0,20,0
铁匠,0,2,0
铁匠,0,2,0
铁匠,0,10,0
铁匠,0,2,0
铁匠,0,2,0
铁匠,0,10,0
铁匠,0,2,0
铁匠,0,2,0
铁匠,0,10,0
铁匠,0,1,0
大厨,0,1,0
铁匠,0,10,0
铁匠,0,1,0
大厨,0,1,0
铁匠,0,25,0
铁匠,0,1,0
大厨,0,1,0
铁匠,0,1,0
铁匠,0,1,0
铁匠,0,10,0
铁匠,0,1,0
大厨,0,1,0
铁匠,0,1,0
铁匠,0,1,0
铁匠,0,10,0
铁匠,0,1,0
大厨,0,1,0
铁匠,0,1,0
铁匠,0,1,0
大铁匠,0,23,0
大铁匠,0,2,0
大铁匠,0,2,0
大铁匠,0,2,0
大厨,0,2,0
大铁匠,0,35,0
大铁匠,0,2,0
大铁匠,0,2,0
大铁匠,0,2,0
大厨,0,2,0
大铁匠,0,2,0
大铁匠,0,2,0
大铁匠,0,2,0
大铁匠,0,2,0
大厨,0,2,0
大铁匠,0,2,0
大铁匠,0,2,0
大铁匠,0,2,0
大铁匠,0,2,0
大厨,0,2,0
