怪物,出生点,等待时间,路线
铁匠x,0,10,0
铁匠x,0,10,0
铁匠x,0,3,0
铁匠x,0,3,0
铁匠x,0,10,0
铁匠x,0,2,0
铁匠x,0,2,0
铁匠x,0,2,0
音速,1,8,1
铁匠x,0,8,0
铁匠x,0,2,0
铁匠x,0,2,0
铁匠x,0,2,0
音速,1,8,1
音速,1,3,1
铁匠x,0,6,0
铁匠x,0,2,0
铁匠x,0,2,0
铁匠x,0,2,0
铁匠x,0,2,0
铁匠x,0,2,0
铁匠x,0,2,0
铁匠x,0,6,0
铁匠x,0,2,0
铁匠x,0,2,0
铁匠x,0,2,0
铁匠x,0,2,0
铁匠x,0,2,0
铁匠x,0,2,0
音速,1,8,1
音速,1,3,1
音速,1,3,1
音速,1,3,1
铁匠x,0,6,0
铁匠x,0,2,0
铁匠x,0,2,0
铁匠x,0,6,0
铁匠x,0,2,0
铁匠x,0,2,0
铁匠x,0,6,0
铁匠x,0,2,0
铁匠x,0,2,0
铁匠x,0,6,0
铁匠x,0,2,0
铁匠x,0,2,0
铁匠x,0,6,0
铁匠x,0,2,0
铁匠x,0,2,0
铁匠x,0,2,0
铁匠x,0,2,0
铁匠x,0,2,0
音速,1,0,1
音速,1,3,1
音速,1,3,1
音速,1,3,1
铁匠x,0,1,0
音速,1,0,1
铁匠x,0,1,0
铁匠x,0,1,0
音速,1,0,1
铁匠x,0,1,0
铁匠x,0,1,0
音速,1,0,1
铁匠x,0,1,0
铁匠x,0,1,0
音速,1,0,1
铁匠x,0,1,0
铁匠x,0,1,0
音速,1,0,1
铁匠x,0,1,0
铁匠x,0,1,0
音速,1,0,1
铁匠x,0,1,0
铁匠x,0,1,0
音速,1,0,1
铁匠x,0,1,0
铁匠x,0,1,0
音速,1,0,1
铁匠x,0,1,0
铁匠x,0,1,0
音速,1,0,1
铁匠x,0,1,0
铁匠x,0,1,0
音速,1,0,1
铁匠x,0,1,0
铁匠x,0,1,0
音速,1,0,1
铁匠x,0,1,0
铁匠x,0,1,0
音速,1,0,1
铁匠x,0,1,0
铁匠x,0,1,0
